Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Sat Jan  4 02:20:25 2025


*** MCMC Parameters ***

Seed                         : 1735982405
Update Allele Frequencies    : No
Gibbs sample missing data    : No
Check for Pedigree cycles    : Yes


*** Simulated Annealing specific Parameters ***

Initial acceptance rate chi  : 0.950
Neighborhood Size Factor beta: 3.000
Increment delta              : 0.100000
Converge event number        : 3
Converge tolerance epsilon   : 0.001

Calculated Parameters     
  Neighboorhood Size         : 91804
  Initial temperature c0     : 103.000000


*** Metropolis Hastings specific Parameters ***

Burnin Iterations            : 50000000
Iterations                   : 1215752192
Sample frequency             : 1000
MCMCMC Swap frequency        : 25
MCMCMC Number of swaps       : -1 (-1 == number threads)
MCMCMC Temperature           : 0.500


*** Data Parameters ***

  Nfmax                      : 60000
  Nmmax                      : 60000

 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |      Stage |  Iteration | Best Score |    Average |    Sigma |     Temp | Ratio |     x_f |     x_m | Thread |
 |         96 |   26164046 |  -3456.302 |  -4188.360 |  139.310 |   28.584 |  0.61 |   0.515 |   0.515 |      0 |
 |         97 |   26439457 |  -3456.302 |  -3959.778 |  133.309 |   28.399 |  0.65 |   0.486 |   0.486 |      0 |
 |         98 |   26714868 |  -3456.302 |  -4072.724 |   88.651 |   28.208 |  0.63 |   0.493 |   0.493 |      0 |
 |         99 |   26990279 |  -3456.302 |  -4005.815 |   89.240 |   27.925 |  0.64 |   0.494 |   0.494 |      0 |
 |        100 |   27265690 |  -3456.302 |  -4063.357 |  110.601 |   27.651 |  0.63 |   0.461 |   0.461 |      0 |
 |        101 |   27541101 |  -3456.302 |  -3961.476 |  120.238 |   27.433 |  0.65 |   0.560 |   0.560 |      0 |
 |        102 |   27816512 |  -3456.302 |  -4069.475 |   99.896 |   27.235 |  0.62 |   0.461 |   0.461 |      0 |
 |        103 |   28091923 |  -3456.302 |  -4034.310 |  113.805 |   27.001 |  0.63 |   0.543 |   0.543 |      0 |
 |        104 |   28367334 |  -3456.302 |  -3985.437 |  101.185 |   26.799 |  0.64 |   0.447 |   0.447 |      0 |
 |        105 |   28642745 |  -3456.302 |  -4021.746 |  100.179 |   26.576 |  0.63 |   0.521 |   0.521 |      0 |
 |        106 |   28918156 |  -3456.302 |  -3987.154 |   89.956 |   26.354 |  0.64 |   0.469 |   0.469 |      0 |
 |        107 |   29193567 |  -3456.302 |  -4050.812 |   98.972 |   26.111 |  0.63 |   0.503 |   0.503 |      0 |
 |        108 |   29468978 |  -3438.141 |  -3992.902 |  117.241 |   25.894 |  0.64 |   0.393 |   0.393 |      0 |
 |        109 |   29744389 |  -3438.141 |  -3882.001 |   84.456 |   25.713 |  0.66 |   0.494 |   0.494 |      0 |
 |        110 |   30019800 |  -3438.141 |  -3926.780 |  110.123 |   25.467 |  0.65 |   0.546 |   0.546 |      0 |
 |        111 |   30295211 |  -3438.141 |  -3880.889 |   86.760 |   25.281 |  0.66 |   0.547 |   0.547 |      0 |
 |        112 |   30570622 |  -3438.141 |  -3860.361 |  106.050 |   25.049 |  0.66 |   0.493 |   0.493 |      0 |
 |        113 |   30846033 |  -3438.141 |  -3937.355 |  122.184 |   24.863 |  0.65 |   0.524 |   0.524 |      0 |
 |        114 |   31121444 |  -3438.141 |  -3916.940 |  100.477 |   24.703 |  0.65 |   0.499 |   0.499 |      0 |
 |        115 |   31396855 |  -3438.141 |  -4053.006 |  120.336 |   24.511 |  0.62 |   0.442 |   0.442 |      0 |
 |        116 |   31672266 |  -3438.141 |  -4035.062 |  138.388 |   24.354 |  0.63 |   0.493 |   0.493 |      0 |
 |        117 |   31947677 |  -3438.141 |  -4033.675 |  130.164 |   24.218 |  0.63 |   0.452 |   0.452 |      0 |
 |        118 |   32223088 |  -3438.141 |  -4122.704 |  144.277 |   24.076 |  0.60 |   0.520 |   0.520 |      0 |
 |        119 |   32498499 |  -3438.141 |  -4004.348 |  144.786 |   23.949 |  0.63 |   0.490 |   0.490 |      0 |
 |        120 |   32773910 |  -3438.141 |  -3896.003 |   96.257 |   23.824 |  0.65 |   0.487 |   0.487 |      0 |
 |        121 |   33049321 |  -3438.141 |  -3967.840 |  119.646 |   23.638 |  0.64 |   0.466 |   0.466 |      0 |
 |        122 |   33324732 |  -3438.141 |  -3884.148 |  143.057 |   23.491 |  0.66 |   0.700 |   0.700 |      0 |
 |        123 |   33600143 |  -3438.141 |  -3888.499 |   97.626 |   23.369 |  0.66 |   0.704 |   0.704 |      0 |
 |        124 |   33875554 |  -3438.141 |  -3887.522 |  116.674 |   23.192 |  0.65 |   0.538 |   0.538 |      0 |
 |        125 |   34150965 |  -3438.141 |  -3852.708 |   80.685 |   23.047 |  0.66 |   0.564 |   0.564 |      0 |
 |        126 |   34426376 |  -3438.141 |  -3936.996 |  132.348 |   22.840 |  0.64 |   0.471 |   0.471 |      0 |
 |        127 |   34701787 |  -3438.141 |  -3944.545 |  103.139 |   22.715 |  0.64 |   0.433 |   0.433 |      0 |
 |        128 |   34977198 |  -3438.141 |  -3932.225 |  127.487 |   22.557 |  0.64 |   0.709 |   0.709 |      0 |
 |        129 |   35252609 |  -3438.141 |  -3935.229 |  106.335 |   22.431 |  0.64 |   0.461 |   0.461 |      0 |
 |        130 |   35528020 |  -3438.141 |  -3934.973 |  107.034 |   22.282 |  0.64 |   0.456 |   0.456 |      0 |
 |        131 |   35803431 |  -3438.141 |  -3982.195 |   75.227 |   22.135 |  0.63 |   0.524 |   0.524 |      0 |
 |        132 |   36078842 |  -3438.141 |  -3968.208 |   77.485 |   21.930 |  0.63 |   0.465 |   0.465 |      0 |
 |        133 |   36354253 |  -3438.141 |  -3923.994 |   80.174 |   21.735 |  0.64 |   0.536 |   0.536 |      0 |
 |        134 |   36629664 |  -3438.141 |  -3896.111 |   91.498 |   21.549 |  0.64 |   0.663 |   0.663 |      0 |
 |        135 |   36905075 |  -3438.141 |  -3917.136 |  102.761 |   21.389 |  0.64 |   0.462 |   0.462 |      0 |
 |        136 |   37180486 |  -3438.141 |  -3897.411 |   98.355 |   21.249 |  0.65 |   0.472 |   0.472 |      0 |
 |        137 |   37455897 |  -3438.141 |  -3976.653 |  107.185 |   21.104 |  0.63 |   0.445 |   0.445 |      0 |
 |        138 |   37731308 |  -3438.141 |  -4052.282 |  125.998 |   20.973 |  0.61 |   0.492 |   0.492 |      0 |
 |        139 |   38006719 |  -3438.141 |  -4161.416 |   84.242 |   20.862 |  0.59 |   0.427 |   0.427 |      0 |
 |        140 |   38282130 |  -3438.141 |  -4042.443 |  118.799 |   20.700 |  0.61 |   0.484 |   0.484 |      0 |
 |        141 |   38557541 |  -3438.141 |  -3952.321 |   98.163 |   20.586 |  0.63 |   0.434 |   0.434 |      0 |
 |        142 |   38832952 |  -3438.141 |  -3951.527 |   97.629 |   20.449 |  0.63 |   0.534 |   0.534 |      0 |
 |        143 |   39108363 |  -3438.141 |  -3911.437 |  115.372 |   20.314 |  0.64 |   0.382 |   0.382 |      0 |
 |        144 |   39383774 |  -3438.141 |  -4004.304 |  106.962 |   20.201 |  0.62 |   0.449 |   0.449 |      0 |
 |        145 |   39659185 |  -3438.141 |  -3921.504 |  111.507 |   20.081 |  0.64 |   0.451 |   0.451 |      0 |
 |        146 |   39934596 |  -3438.141 |  -3898.435 |   99.871 |   19.966 |  0.64 |   0.656 |   0.656 |      0 |
 |        147 |   40210007 |  -3438.141 |  -3888.335 |   84.360 |   19.840 |  0.64 |   0.481 |   0.481 |      0 |
 |        148 |   40485418 |  -3438.141 |  -4072.493 |  153.954 |   19.693 |  0.60 |   0.418 |   0.418 |      0 |
 |        149 |   40760829 |  -3438.141 |  -4065.533 |  164.520 |   19.614 |  0.60 |   0.585 |   0.585 |      0 |
 |        150 |   41036240 |  -3438.141 |  -3910.793 |  104.141 |   19.540 |  0.63 |   0.462 |   0.462 |      0 |
 |        151 |   41311651 |  -3438.141 |  -4038.136 |   83.727 |   19.424 |  0.61 |   0.495 |   0.495 |      0 |
 |        152 |   41587062 |  -3438.141 |  -4166.698 |   76.163 |   19.282 |  0.58 |   0.592 |   0.592 |      0 |
 |        153 |   41862473 |  -3438.141 |  -4032.252 |   98.850 |   19.128 |  0.61 |   0.445 |   0.445 |      0 |
 |        154 |   42137884 |  -3438.141 |  -3975.445 |   94.178 |   19.011 |  0.62 |   0.526 |   0.526 |      0 |
 |        155 |   42413295 |  -3438.141 |  -3958.150 |  104.520 |   18.890 |  0.63 |   0.479 |   0.479 |      0 |
 |        156 |   42688706 |  -3438.141 |  -3840.395 |  143.430 |   18.782 |  0.64 |   0.544 |   0.544 |      0 |
 |        157 |   42964117 |  -3438.141 |  -3791.452 |  102.424 |   18.704 |  0.65 |   0.610 |   0.610 |      0 |
 |        158 |   43239528 |  -3396.490 |  -3792.813 |  137.042 |   18.596 |  0.65 |   0.471 |   0.471 |      0 |
 |        159 |   43514939 |  -3396.490 |  -3952.398 |  104.297 |   18.516 |  0.62 |   0.447 |   0.447 |      0 |
 |        160 |   43790350 |  -3396.490 |  -3784.874 |  142.400 |   18.413 |  0.66 |   0.501 |   0.501 |      0 |
 |        161 |   44065761 |  -3396.490 |  -3966.428 |  121.363 |   18.337 |  0.62 |   0.482 |   0.482 |      0 |
 |        162 |   44341172 |  -3396.490 |  -3890.299 |   86.755 |   18.250 |  0.63 |   0.588 |   0.588 |      0 |
 |        163 |   44616583 |  -3396.490 |  -3894.283 |   87.593 |   18.128 |  0.63 |   0.518 |   0.518 |      0 |
 |        164 |   44891994 |  -3396.490 |  -3893.331 |  107.264 |   18.010 |  0.63 |   0.579 |   0.579 |      0 |
 |        165 |   45167405 |  -3396.490 |  -3912.336 |  112.046 |   17.915 |  0.63 |   0.503 |   0.503 |      0 |
 |        166 |   45442816 |  -3396.490 |  -3903.230 |   87.170 |   17.824 |  0.62 |   0.527 |   0.527 |      0 |
 |        167 |   45718227 |  -3396.490 |  -3985.262 |  136.319 |   17.709 |  0.61 |   0.463 |   0.463 |      0 |
 |        168 |   45993638 |  -3396.490 |  -3966.722 |  104.595 |   17.636 |  0.61 |   0.456 |   0.456 |      0 |
 |        169 |   46269049 |  -3396.490 |  -3919.185 |  122.475 |   17.542 |  0.62 |   0.573 |   0.573 |      0 |
 |        170 |   46544460 |  -3396.490 |  -3964.668 |  125.426 |   17.463 |  0.61 |   0.434 |   0.434 |      0 |
 |        171 |   46819871 |  -3396.490 |  -4079.913 |   91.519 |   17.386 |  0.59 |   0.520 |   0.520 |      0 |
 |        172 |   47095282 |  -3396.490 |  -4022.837 |   76.836 |   17.282 |  0.60 |   0.520 |   0.520 |      0 |
 |        173 |   47370693 |  -3396.490 |  -3976.267 |   94.561 |   17.159 |  0.61 |   0.434 |   0.434 |      0 |
 |        174 |   47646104 |  -3396.490 |  -3893.287 |  104.256 |   17.061 |  0.62 |   0.542 |   0.542 |      0 |
 |        175 |   47921515 |  -3396.490 |  -3896.365 |  100.541 |   16.972 |  0.62 |   0.487 |   0.487 |      0 |
 |        176 |   48196926 |  -3396.490 |  -3899.097 |   94.774 |   16.882 |  0.62 |   0.449 |   0.449 |      0 |
 |        177 |   48472337 |  -3396.490 |  -3867.543 |   86.317 |   16.787 |  0.63 |   0.508 |   0.508 |      0 |
 |        178 |   48747748 |  -3396.490 |  -3855.044 |   81.657 |   16.684 |  0.63 |   0.479 |   0.479 |      0 |
 |        179 |   49023159 |  -3396.490 |  -3918.641 |  126.949 |   16.576 |  0.62 |   0.424 |   0.424 |      0 |
 |        180 |   49298570 |  -3396.490 |  -3951.116 |   80.462 |   16.508 |  0.61 |   0.466 |   0.466 |      0 |
 |        181 |   49573981 |  -3396.490 |  -4022.573 |   95.572 |   16.401 |  0.60 |   0.457 |   0.457 |      0 |
 |        182 |   49849392 |  -3396.490 |  -4045.796 |   82.247 |   16.312 |  0.59 |   0.529 |   0.529 |      0 |
 |        183 |   50124803 |  -3396.490 |  -3879.727 |   87.299 |   16.210 |  0.62 |   0.520 |   0.520 |      0 |
 |        184 |   50400214 |  -3396.490 |  -3783.476 |   97.416 |   16.115 |  0.64 |   0.491 |   0.491 |      0 |
 |        185 |   50675625 |  -3396.490 |  -3813.790 |  104.060 |   16.030 |  0.63 |   0.494 |   0.494 |      0 |
 |        186 |   50951036 |  -3396.490 |  -3841.837 |  116.504 |   15.952 |  0.63 |   0.431 |   0.431 |      0 |
 |        187 |   51226447 |  -3396.490 |  -3968.326 |  109.430 |   15.883 |  0.60 |   0.510 |   0.510 |      0 |
 |        188 |   51501858 |  -3396.490 |  -3956.912 |  152.772 |   15.810 |  0.61 |   0.546 |   0.546 |      0 |
 |        189 |   51777269 |  -3396.490 |  -3769.940 |   94.920 |   15.758 |  0.64 |   0.460 |   0.460 |      0 |
