Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Tue Apr 15 02:01:41 2025


*** MCMC Parameters ***

Seed                         : 1744707681
Update Allele Frequencies    : No
Gibbs sample missing data    : No
Check for Pedigree cycles    : Yes


*** Simulated Annealing specific Parameters ***

Initial acceptance rate chi  : 0.950
Neighborhood Size Factor beta: 3.000
Increment delta              : 0.100000
Converge event number        : 3
Converge tolerance epsilon   : 0.001

Calculated Parameters     
  Neighboorhood Size         : 82780
  Initial temperature c0     : 111.000000


*** Metropolis Hastings specific Parameters ***

Burnin Iterations            : 50000000
Iterations                   : 1215752192
Sample frequency             : 1000
MCMCMC Swap frequency        : 25
MCMCMC Number of swaps       : -1 (-1 == number threads)
MCMCMC Temperature           : 0.500


*** Data Parameters ***

  Nfmax                      : 60000
  Nmmax                      : 60000

 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |      Stage |  Iteration | Best Score |    Average |    Sigma |     Temp | Ratio |     x_f |     x_m | Thread |
 |        125 |   30794037 |  -3139.798 |  -3803.515 |  116.583 |   21.812 |  0.59 |   0.498 |   0.498 |      0 |
 |        126 |   31042376 |  -3139.798 |  -3749.565 |   94.449 |   21.683 |  0.60 |   0.489 |   0.489 |      0 |
 |        127 |   31290715 |  -3139.798 |  -3655.771 |   79.826 |   21.526 |  0.61 |   0.440 |   0.440 |      0 |
 |        128 |   31539054 |  -3139.798 |  -3773.063 |   68.681 |   21.343 |  0.59 |   0.461 |   0.461 |      0 |
 |        129 |   31787393 |  -3139.798 |  -3700.658 |  114.814 |   21.134 |  0.60 |   0.431 |   0.431 |      0 |
 |        130 |   32035732 |  -3139.798 |  -3600.260 |   93.520 |   21.011 |  0.62 |   0.379 |   0.379 |      0 |
 |        131 |   32284071 |  -3139.798 |  -3670.020 |   79.941 |   20.862 |  0.61 |   0.423 |   0.423 |      0 |
 |        132 |   32532410 |  -3139.798 |  -3662.118 |   79.873 |   20.691 |  0.61 |   0.428 |   0.428 |      0 |
 |        133 |   32780749 |  -3139.798 |  -3614.440 |   85.095 |   20.522 |  0.62 |   0.414 |   0.414 |      0 |
 |        134 |   33029088 |  -3139.798 |  -3645.336 |  100.654 |   20.366 |  0.61 |   0.442 |   0.442 |      0 |
 |        135 |   33277427 |  -3139.798 |  -3555.804 |   97.954 |   20.236 |  0.64 |   0.440 |   0.440 |      0 |
 |        136 |   33525766 |  -3139.798 |  -3488.274 |   80.558 |   20.104 |  0.64 |   0.520 |   0.520 |      0 |
 |        137 |   33774105 |  -3139.798 |  -3587.416 |   99.068 |   19.946 |  0.63 |   0.450 |   0.450 |      0 |
 |        138 |   34022444 |  -3139.798 |  -3528.850 |   90.734 |   19.819 |  0.64 |   0.369 |   0.369 |      0 |
 |        139 |   34270783 |  -3139.798 |  -3620.975 |   84.516 |   19.682 |  0.62 |   0.483 |   0.483 |      0 |
