Tree,Lat,Lat ',Long,Long '
DS0003,35,35.874,114,15.622
DS0004,35,35.866,114,15.616
DS0005,35,35.848,114,15.628
DS0006,35,35.837,114,15.610
DS0007,35,35.830,114,15.574
DS0008,35,35.753,114,15.563
DS0009,35,35.718,114,15.529
DS0010,35,35.719,114,15.546
EV0001,37,22.737,117,49.662
EV0002,37,22.729,117,49.682
EV0003,37,22.706,117,49.715
EV0004,37,22.791,117,49.719
EV0005,37,22.785,117,49.766
EV0006,37,22.775,117,49.770
EV0007,37,22.828,117,49.790
EV0008,37,22.831,117,49.790
EV0009,37,22.839,117,49.779
EV0010,37,22.856,117,49.759
FB0001,35,0.197,117,2.033
FB0002,35,0.190,117,2.016
FB0003,35,0.051,117,1.908
FB0004,35,0.439,117,1.983
FB0005,35,0.581,117,1.851
FB0006,35,0.680,117,1.731
FB0007,35,0.239,117,2.079
FB0008,34,59.724,117,1.532
FB0009,34,59.808,117,1.647
FM0001,34,14.175,117,29.129
FM0002,34,14.350,117,29.341
FM0003,34,14.211,117,29.521
FM0004,34,14.184,117,29.557
FM0005,34,14.140,117,29.587
FM0006,34,13.924,117,29.562
FM0007,34,13.948,117,29.140
FM0009,34,14.095,117,29.033
FM0010,34,14.114,117,29.096
GP0001,37,21.535,117,22.184
GP0002,37,21.527,117,22.175
GP0003,37,21.497,117,22.182
GP0004,37,21.493,117,22.154
GP0005,37,21.590,117,22.120
GP0006,37,21.306,117,23.009
GP0007,37,21.246,117,23.010
GP0009,37,21.210,117,22.981
GP0010,37,21.327,117,23.087
Hancock1,37,26.850,115,23.091
Hancock10,37,26.805,115,23.102
Hancock11,37,26.794,115,23.098
Hancock12,37,26.792,115,23.071
Hancock13,37,26.793,115,23.080
Hancock14,37,26.785,115,23.051
Hancock15,37,26.790,115,23.048
Hancock16,37,26.790,115,23.047
Hancock17,37,26.772,115,23.024
Hancock18,37,26.782,115,23.031
Hancock19,37,26.772,115,23.031
Hancock2,37,26.848,115,23.099
Hancock20,37,26.772,115,23.040
Hancock21,37,26.782,115,23.036
Hancock22,37,28.782,115,23.036
Hancock23,37,26.772,115,23.033
Hancock24,37,26.775,115,23.041
Hancock25,37,26.770,115,23.040
Hancock26,37,26.759,115,23.016
Hancock27,37,26.763,115,22.988
Hancock28,37,26.770,115,22.993
Hancock29,37,26.760,115,23.000
Hancock3,37,26.842,115,23.101
Hancock30,37,26.756,115,23.001
Hancock31,37,26.744,115,22.982
Hancock32,37,26.740,115,22.989
Hancock33,37,26.739,115,22.993
Hancock34,37,26.736,115,22.973
Hancock35,37,26.742,115,22.966
Hancock36,37,26.734,115,22.966
Hancock37,37,26.727,115,22.978
Hancock38,37,26.723,115,22.997
Hancock39,37,26.729,115,22.951
Hancock4,37,26.851,115,23.117
