numb,Tree,missing,Pop,%Brev_Run1,%Brev_Run2,%Brev Ave
1593,TV5312,0,5,0.952,0.952,0.952
1594,TV5313,-10,5,0.917,0.917,0.917
1595,TV6300,0,5,0.068,0.069,0.0685
1596,TV6311,0,5,0.048,0.048,0.048
1597,TV6322,0,5,0.048,0.048,0.048
1598,TV6401,0,5,0.07,0.07,0.07
1599,TV6403,0,5,0.335,0.334,0.3345
1600,TV6404,0,5,0.545,0.547,0.546
1601,TV6410,0,5,0.052,0.052,0.052
1602,TV6603,0,5,0.89,0.89,0.89
1603,TV6604,0,5,0.925,0.925,0.925
1604,TV6610,0,5,0.951,0.95,0.9505
1605,TV6613,0,5,0.085,0.085,0.085
1606,TV6614,-10,5,0.707,0.706,0.7065
1607,TV6616,0,5,0.822,0.822,0.822
1608,TV6702,0,5,0.943,0.943,0.943
1609,TV6710,0,5,0.845,0.844,0.8445
1610,TV6711,0,5,0.961,0.961,0.961
1611,TVE0003,-20,5,0.769,0.769,0.769
1612,TVE0004,-15,5,0.618,0.62,0.619
1613,TVE0007,0,5,0.29,0.291,0.2905
1614,TVE0012,-15,5,0.172,0.173,0.1725
1615,TVE0015,0,5,0.052,0.053,0.0525
1616,TVE0019,0,5,0.128,0.13,0.129
1617,TVE0024,0,5,0.066,0.066,0.066
1618,TVE0025,-5,5,0.345,0.344,0.3445
1619,TVE0033,0,5,0.701,0.701,0.701
1620,TVE0036,0,5,0.619,0.619,0.619
1621,TVE0037,0,5,0.83,0.83,0.83
1622,TVE0038,-10,5,0.917,0.917,0.917
1623,TVS0001,-10,2,0.996,0.996,0.996
1624,TVS0003,0,2,0.995,0.995,0.995
1625,TVS0005,0,2,0.997,0.997,0.997
1626,TVS0006,0,2,0.996,0.996,0.996
1627,TVS0007,0,2,0.996,0.996,0.996
1628,TVS0008,-10,2,0.994,0.994,0.994
1629,TVS0009,0,2,0.993,0.994,0.9935
1630,TVS0010,0,2,0.97,0.976,0.973
1631,TVS0011,-10,2,0.997,0.997,0.997
1632,TVS0012,0,2,0.958,0.967,0.9625
1633,TVS0013,-10,2,0.996,0.996,0.996
1634,TVS0014,-30,2,0.997,0.997,0.997
1635,TVS0016,-10,2,0.97,0.976,0.973
1636,TVS0020,-10,2,0.996,0.996,0.996
1637,TVS0200,0,2,0.996,0.996,0.996
1638,TVS0201,-10,2,0.996,0.996,0.996
1639,TVS0202,0,2,0.995,0.995,0.995
1640,TVS0203,-10,2,0.994,0.994,0.994
1641,TVS0204,0,2,0.997,0.997,0.997
1642,TVS0205,-10,2,0.992,0.993,0.9925
1643,TVS0206,0,2,0.997,0.997,0.997
1644,TVS0207,-30,2,0.996,0.996,0.996
1645,TVS0208,-5,2,0.997,0.997,0.997
1646,TVS0209,0,2,0.997,0.997,0.997
1647,TVS0210,0,2,0.995,0.995,0.995
1648,TVS0211,-10,2,0.997,0.996,0.9965
169,TVSt01,-10,2,0.996,0.996,0.996
170,TVSt014,-20,2,0.997,0.997,0.997
171,TVSt015,-10,2,0.996,0.996,0.996
172,TVSt016,-10,2,0.983,0.985,0.984
